Id,Label,Date,Image,followers_count,friends_count
1040870490821353472,andfra9,Sat Sep 15 07:50:38 +0000 2018,https://pbs.twimg.com/profile_images/1378790906334228488/Qd_M61oH_normal.jpg,701,1494
1040898695569522693,iris64177108,Sat Sep 15 09:42:42 +0000 2018,https://pbs.twimg.com/profile_images/1118077089763270656/ua6AYjCS_normal.jpg,508,913
1041657034192478208,PoehsesReich,Mon Sep 17 11:56:04 +0000 2018,https://pbs.twimg.com/profile_images/1242105000697966593/9XkugR0N_normal.jpg,539,444
1042052751117697027,BirgittaDE2,Tue Sep 18 14:08:31 +0000 2018,https://pbs.twimg.com/profile_images/1296460325831704578/dEuxTWRw_normal.jpg,557,396
1042079214416080896,Lars_Kruse_1973,Tue Sep 18 15:53:40 +0000 2018,https://pbs.twimg.com/profile_images/1042087924463009797/oPVPRUNF_normal.jpg,647,863
10456882,frankfeil,Thu Nov 22 01:53:42 +0000 2007,https://pbs.twimg.com/profile_images/1439265820253769731/UlcXiE6D_normal.jpg,6161,1141
1046119978909540353,Gerdschi82,Sat Sep 29 19:30:13 +0000 2018,https://pbs.twimg.com/profile_images/1241834549530767361/7hZaP-75_normal.jpg,9,39
1048334780834754560,Thomas05112,Fri Oct 05 22:11:03 +0000 2018,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,51,204
1048508301623873536,LizzaaMoni,Sat Oct 06 09:40:34 +0000 2018,https://pbs.twimg.com/profile_images/1325906248366252033/iAI17Npz_normal.jpg,1,57
1049302299338784768,RudiSagt,Mon Oct 08 14:15:38 +0000 2018,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,14,23
1052848657756839936,Marcell61796122,Thu Oct 18 09:07:35 +0000 2018,https://pbs.twimg.com/profile_images/1334428155268960256/e73xQkjB_normal.jpg,160,351
1053358002,MarinaSuhr,Tue Jan 01 19:54:18 +0000 2013,https://pbs.twimg.com/profile_images/1460107865230876678/FnG9ZVEN_normal.jpg,72,76
