From,To,Strength
1077479182282752000,1077479182282752000,1
1077670683163930624,46082356,1
1078557717839691778,1242913104360603650,1
1078611325134295041,1078611325134295041,1
1078611325134295041,454932645,1
1078925248718950402,816690234981228545,1
1082186919814090752,1082186919814090752,2
1082186919814090752,1235648080223092736,1
1082186919814090752,1272257992654815239,1
1082186919814090752,19802110,1
1082186919814090752,3347600212,1
1082371703181844480,1384600684201349122,1
1083447470519214082,2189115488,1
1083565366410964992,19401778,1
1083565366410964992,953592156555538432,1
1083826636678676482,787119942,1
1084578529138884615,1084578529138884615,1
1084857027065729025,87312385,1
1084924078845296641,1084924078845296641,1
1087412278465646595,1360266183287726081,1
1087444980174671872,29180690,1
1089806135757062144,1467457855037050883,1
1091090017311748096,826495532373831681,1
1091870197139623936,4599832096,2
1092533104940593155,2293980885,1
1092779954436214784,1314116355197743105,1
1092860741047250946,1092860741047250946,1
10954202,18763491,1
1095432576435671046,25667697,1
1097836571871588352,1420294156698652674,1
1097836571871588352,3292982985,2
1099580804798300160,809188392089092097,1
1101690859634999297,1101690859634999297,1
1102465200060538880,46614863,1
1102541866338316290,1218947359033393153,1
1103239140651515905,987270518578479105,1
1104771860502331392,1195067653649555459,1
1106765550,1049302299338784768,1
1106765550,1419997864604864518,2
1106765550,1450724213107695616,1
1106765550,29079848,1
1106765550,3318786813,1
1106765550,517443026,1
1107889123640180738,816690234981228545,1
1108136168632315905,1101354170,1
1108294027563188224,28871235,1
1108810580981415937,1324281927139053568,1
1109409812088045568,1048108501111918592,1
1109409812088045568,1067484029677641728,1
1109409812088045568,280569249,1
1109761598720299008,310775933,1
1110593416088481793,4797913767,1
1110886516061032448,1110886516061032448,1
1110886516061032448,69440153,1
1110886516061032448,73597791,1
1116619771586338816,22470711,1
1118823044510887936,1110886516061032448,1
1119276958737735686,716634913487847425,1
1120669848927973377,18722806,1
1122752328723988480,1299709844811898880,1
1126176410949890048,870354434,1
1126437637236109312,1348250233445220352,1
1128300581477548033,1240342963693268993,1
1128300581477548033,1330896180482596865,1
1128300581477548033,1334442714813911040,1
1128300581477548033,1340455739660361732,1
1128300581477548033,1377609668051222533,2
1128300581477548033,1412644065183739904,1
1128300581477548033,1438461455947468806,1
1128300581477548033,1452904970492289031,1
1128300581477548033,2827762328,1
1128300581477548033,3957949635,1
1128715108388081665,2885573171,2
1128715108388081665,8720562,3
1130213864489009164,756569436384026625,1
1130966879948955648,756569436384026625,1
1131070519904808960,760798115066773504,1
1131237989818994688,787649433097961472,1
1131300901,1056653626058387457,1
1131300901,2748626978,1
1131523453180403712,1198321794488381440,1
1131595666944397313,822532222565683200,1
1131906768194482176,915314927778361345,1
1132181767589421058,759444779402948608,1
1133065087382634498,1033078686176698369,1
1133119485043445760,1185226983879385088,1
1133362781070221313,1385496575565312000,1
1135631779036094465,1044255544096239616,1
1136593952423993345,1181327506080780288,1
1136593952423993345,756569436384026625,1
1138129926832427008,841002777841143808,1
1138769843765878784,176557293,1
1138769843765878784,709073627585630208,1
1138769843765878784,889040779712376832,1
114021187,878575811250573312,1
1140534932835635200,1223976875959234572,1
1141704723076132864,1252542024299012097,1
1143039246,1143039246,1
1143039246,414703976,1
1143039246,80039777,1
1143039246,805508383772123136,1
1143255384,2748626978,1
1144328577221124101,1144328577221124101,1
1144545418572943360,1425209285655547910,1
1145731625323585536,1257898714917715969,1
1146334842914820097,1133248139262070785,2
1146725306071506944,1358405339792736260,1
1147425714867752960,462315706,2
1147432621670051840,3063892271,1
1148032358,1324095465672052739,1
1148290233219334144,756569436384026625,1
1149740137649250304,951229400,1
1149795256847798272,787119942,1
1150456132844085251,1031104936212410370,1
1151952394823110661,319854904,1
1152317324365639681,3063892271,1
1152863571392499712,8720562,1
1154106240588496899,1154106240588496899,1
1154504123791925259,1155916301828800512,1
1154504123791925259,36713389,1
1154504160206872590,1272257992654815239,1
1154504160206872590,2245260053,1
1155013296,1290305060568813568,1
1155844907975790594,1155844907975790594,1
1156254246532202499,1185552836404432907,1
1156254246532202499,1437810368538161158,1
1156254246532202499,705721455724646400,1
1156366716991094786,4201110910,1
1156547367602130948,906173494303621121,1
1157194965069500417,1042079214416080896,1
1158339007882944512,1341293510109093889,1
1158395682300059649,202529421,1
1158642693544775681,472447110,1
1159434285801201665,1039187213932797953,1
1160207693824626689,1290652703564206083,1
1163788557946892288,359982860,1
1163788557946892288,4914384040,1
1164231742091386882,52715867,1
1166751822197002243,1319570221976399872,1
1167460222455177216,1225540867949199361,1
1168688111464960000,1445463378214805506,1
1168907221054492672,1461286003575083015,1
1168907221054492672,8720562,1
1169837119,813532704,1
1170230841856987136,1036566311458013186,1
1170276097184935942,1170276097184935942,2
1170626838126825472,1422672530393927688,1
117113707,277969961,1
1171761327544688642,1384173945100718094,1
1173290451023085570,422569574,1
117427484,1340908937185554432,1
1175550050925207552,1175553530217881606,1
1175733226465308673,886666589885616129,1
1175844550142844928,1467464244207792131,1
1175844550142844928,5734902,1
117690210,117690210,1
1177856897594068992,1177856897594068992,1
1178135997944619010,413455064,1
1180863086409977857,197917573,1
1180924667558858753,300390038,1
1181327506080780288,1281005175826677761,1
1181327506080780288,1423987455489978594,1
1181448827049533441,1365998909538115587,1
1182933629388906496,1182933629388906496,1
1183286185659174912,14512645,1
1183722587047763969,2531470606,1
1184090916568682497,258408730,1
1184786214634872833,10501932,1
1184916506917908481,14065491,1
1185642395649662982,1043457866244517893,1
1186512265232683014,1186512265232683014,1
1187095128390934529,2912878863,1
1187095128390934529,3359344643,1
118851642,787119942,1
11907382,1311204346110111744,1
1191935332893241345,1276612080012050432,1
1192523072764567553,611054789,1
11925372,1415946980,1
1193238332123369472,402055544,1
1195279957045514240,3239337743,1
1197560575607357446,756569436384026625,1
1198187813621112832,1401193562566430725,1
1200936687859359745,1462488898400047112,1
120127125,1122231427553210371,1
120127125,120127125,1
120127125,2885573171,1
120127125,56752711,2
120127125,570118794,1
1203737014367145984,1215737471167877121,1
1204377762640871425,939157144955510790,1
1204377762640871425,941598176976539648,1
1204447642924785665,1446811604486590466,1
1206207267915411458,359982860,1
1206346994853306368,319815759,1
1206910296885022720,1292457529008586752,1
1207202070,2834511,1
1208148890211508224,1208148890211508224,1
1209155755800178688,1101354170,1
1209159537137213445,1115105119,1
1209159537137213445,1129331350060851206,1
1209545541597696000,792305987306811392,1
1209782862448381952,1209782862448381952,1
1211613806465433601,2834511,1
1213022613930303490,941037864300810241,1
1214040626829725697,1453408985130967044,1
1214040626829725697,843210563190771713,1
1214265479793000448,941295931227598848,1
1214570035387273218,49014440,1
1215033669687152641,1466017577734389764,1
1215737471167877121,91071669,1
1216376982176440320,250322511,1
1216766464537088001,1216766464537088001,1
1217086552242905088,1043457866244517893,1
1217579607152627715,3431566875,1
1217726907250282497,1268014717,1
1219246221363228672,1219246221363228672,1
1220217714758778880,1257898714917715969,1
1220728498609950721,1074671214902345728,1
1221174807741505536,879133287037489153,1
1221478843141251073,1227319274362089479,1
1221478843141251073,2809549643,1
1222077091212156928,1382808451340992518,1
1222535942059307014,1449323023937462273,1
1222645241779511296,1391144886120898565,1
1222653320113926144,2618686458,1
1223010161515778056,1365371342279876608,1
1223222502454853633,3063892271,1
1224034050475810817,1224034050475810817,1
1224060489833029633,2834511,1
1224223465974181888,502653863,1
1224223465974181888,78623043,1
1224611475857334272,2181868322,1
1225314585076518912,844081278,1
1226609732321972226,1226609732321972226,1
1226626611425968135,3063892271,1
1226810258988900352,1362174359054520320,1
1227348634099949569,1659392952,1
1230381180643684354,1430857532965363712,1
1230381180643684354,3034147900,1
1230381180643684354,5734902,1
1230381180643684354,825306344961998848,1
1230951609695457280,1105638526467616769,1
1231418605,805308596,1
1231659872036499456,1231659872036499456,3
1233132876549455872,8720562,1
1233185754907631616,787119942,1
1234060130574049281,1261242772658495488,1
1234060130574049281,87186946,1
1234100712256294912,9204502,1
1234150606518063105,21755476,1
1236956708708253696,951931635422949378,1
1237407778483863552,1276587769989562368,1
1237407778483863552,1337040334254170114,1
1238236405756825600,3941988976,1
1238776140094996481,1439658073480732674,1
1238824564529995778,3292982985,1
1238892997535825920,100250017,1
1239164108802592770,1460526980319825923,1
1239184958209605632,1120571928459268097,1
1239232480043032576,1239232480043032576,1
1240268961566113794,1407130051548745731,1
1240268961566113794,4451331875,1
1240356154049548291,1145290529602756608,1
1240632584364855296,19232587,1
1240706600,1255745886233276416,1
1240994573020692480,63714073,1
1241012031131717633,9204502,1
1241093357369274375,726824782398906368,1
1241250456535474177,1085620705444708352,1
124143120,1212360344363921409,1
1241726248897974276,1207709647030935557,1
1241820222002208768,1267146987599728640,1
1242056742315442178,233164948,1
1242097594869977089,1397804838,1
1242116646287937538,36713389,1
1243224983830237190,1010705857,1
1243259466432249862,1399359710726348813,1
1243788531895582720,3026970505,1
1244302284785401856,2469989804,1
1244333372694056962,3438554837,1
1244641485808709636,1160177619578576896,1
1244727530101374980,733293522,1
1244946647571927040,1412287272,1
1246045248721162241,1152885512472072192,1
1246082317480837122,1442508789551271945,1
1246923992755249153,1006227483866337281,1
1247201490726531073,1292836071596793856,1
1249445298058874880,22781017,1
1249618888888893440,108389947,1
1249942250,1372247224122540032,1
1250525358400700417,1329829895497797635,1
1250689474595561473,1216280958900543488,1
1250689474595561473,1250689474595561473,1
1250689474595561473,253998571,1
1250804864835256324,1231547612974714880,1
1251452749872599041,2435691,1
1251647677248536583,1252542024299012097,1
1251799278248493058,1364867124624306179,1
1252208688485535745,1305974195327823873,1
1252542768,1462488898400047112,1
1252668344634871809,756569436384026625,1
1253266973120696322,911206638,1
1253519341020200961,1028662281725456384,1
1254501017296736258,1429417705120075776,1
1255037675213651969,756569436384026625,1
1255385682450751488,1381927889738813440,1
1255385682450751488,8720562,1
1255631529809756162,2523284509,1
1255946430298161161,1255946430298161161,1
1255998302165905408,1213609050023137280,1
1256152890336567297,1032608858173308929,1
1256258194214719488,787119942,1
1256541223537512455,879133287037489153,1
1256598827278180352,413455064,1
1256902611304886274,787119942,1
125695604,3559692389,1
1258281896938745858,1237736394585448449,1
1258333339271999489,200932687,1
1258457702562488321,704431266,1
1258460634146115584,2270252634,1
1258460634146115584,2358808194,1
1258645342943416322,1223976875959234572,1
1260566279590678534,1298331430272081926,1
1260566279590678534,312504234,1
1260635069460426752,1005833251620052994,1
1260635069460426752,1260635069460426752,1
1260635069460426752,2991788747,1
1261706553041747968,1456924915957964800,1
1261949026771107842,52673670,1
1262991972974952448,1340743406650351617,1
1263175215888171008,1135883199740096512,1
1263175215888171008,1466180170889453569,1
1263175215888171008,2398480578,1
1264625550351642627,1285538019597062147,1
1264625550351642627,1355603795363966983,1
1264935484121284608,5734902,1
1265212916,969750482,1
1265308566,1352188200006135808,1
1265327891962880000,840980586193924098,1
1266391567784345600,795628212919406592,1
1266643645660266496,1143828746803326976,1
1266643645660266496,1268491947150376962,1
1267146134113390596,1037118426853126144,1
1267331021051179009,792818927525134336,1
1267534731958247431,1442921469881851905,1
1267917470112849921,3292982985,1
1268014717,1257747673303732232,1
1268014717,1414526746217566208,1
1268014717,22926365,1
1268465248123654144,1136360857603063809,1
1268475332014866437,1339494646997803009,1
1268629363370725378,1689287426,1
1269176647544176641,22482556,1
1269177407740747777,4849908027,1
1269794072,1314528417732268032,1
1269955323697209346,67602664,1
1270362941699887104,996729302921211909,1
1270475387030700032,5715752,1
1270475387030700032,881607869732446209,1
1272233013997338625,1459198048232517639,1
1272447535991447552,1159167213624057856,1
1272447535991447552,1459608945954369539,1
1272811339283673093,1122231427553210371,1
1272811339283673093,879133287037489153,1
1272849711658160128,1427315329638748164,1
1273234977602363392,254974186,1
1273234977602363392,784733701682950145,1
1274005687102771200,1385935776450551812,1
1274016589004840961,1232073917415579648,1
1274389544251674627,29079848,1
1274474936200048640,736865045515210752,1
1275925225,1103889187474878464,1
1276482298003820544,1877130186,1
1278032720610955264,29180690,1
1278063539341623299,1196537992220950533,1
1278998712082214912,2834511,1
1279432806662311936,1411599915562803201,1
1279494633723133953,3312143955,1
1279514084950659078,1251840430330843142,1
1279514084950659078,1352775530265849856,1
1279514084950659078,1429666774203748353,2
1280588610404835330,395873726,1
1281233186245263361,1422556286974152711,1
1281325139301408775,1014233961189531648,1
1281829300707237889,1210993208219488257,1
128234175,128234175,1
1282344100314976257,1248992017897619458,1
1282388803399933953,1191935332893241345,1
1283123369068691457,955752186163720193,1
1283444480838901762,879133287037489153,1
1283928515134595074,1363969493572149252,1
1284214529702928387,1129408209704370176,1
1285538019597062147,1349358940073680896,1
1285538019597062147,2597799890,1
1285943802063183872,837244970025238531,1
1287323708252708865,9204502,1
1288327034,1288327034,1
1288528122216878081,22470711,1
1288789695799996416,1288789695799996416,1
1289492208010354689,1431777463399591936,1
1290305060568813568,80039777,1
1291427561621336065,252764310,1
1292245433385996294,787119942,1
1292900414,1949194382,1
1292900414,591460008,1
1292967458853343232,3264813706,1
1293586265225474048,1443517015935815681,1
1294187705711104001,1333095915817750529,1
1294187705711104001,190472848,1
1294187705711104001,3526579397,1
1294381163050676226,1276243318616338434,1
1294642170734026754,949573878,1
1295403609635659778,1295403609635659778,1
1295821102858502144,1295821102858502144,1
1296363318689640449,405534382,1
1296552990908784640,214234811,1
1296726048781082624,3172870258,1
1299063193881530369,752130147952758785,1
1300519800964345856,940478388183142400,1
1300795459351572482,1363756956884828162,1
130112935,1380590716531924997,1
1301604853702184960,1301604853702184960,1
130180142,1433694988685168652,1
1302114457515175936,526311519,1
1304818033303707649,1304818033303707649,1
1304877267307372544,1949194382,1
1305201231883907073,1877130186,1
1307048481496981510,3646134982,2
1308696999219392513,1446116828762165255,1
1309095485878284289,719079898023911425,1
1309458600,172884537,1
1310850553233190914,1142876274328780800,1
1312127577008615429,472447110,1
1313241083246247937,1330075155733880846,1
1313615760833622018,1225309978770202624,1
1313713638931345408,43595288,1
1315182906495639552,74965183,1
1315337251245772801,405534382,1
1316452019956338689,2329807447,1
1316918779,405534382,1
1318883705121853440,787119942,1
1319325738085089281,1420834331656867840,1
1319382331698839555,1319382331698839555,1
1319613359067725824,1083145344580571137,1
1319998716300984320,24754069,1
1320670366784696322,2728756401,1
1321377773697552385,20681190,1
1322551703196045312,1463746527999012868,1
1322810145823481856,1238746097947901952,1
1324052754545987585,1140369636715876352,3
1324111456716148736,2293400131,1
1325161926498856961,1379019497781202950,2
1325352501135220737,1097754070570491906,1
1325352501135220737,1412287272,1
1325352501135220737,727468315732484096,1
1325356082156478464,809188392089092097,1
1325361370641076224,798709752,1
1325400929462611969,1325400929462611969,1
1325413308808237056,1261903370949996545,1
1325413308808237056,809188392089092097,1
1325825299431485440,1283118208753512448,1
1327547185181978624,4836442043,1
1327926318655295488,949004661851348993,2
1328824171,1731411590,1
1329141439343849474,1184035771919024128,1
1329447017328807943,36970167,1
1329893201080102912,1064876162017562624,1
1330075155733880846,1438859611398934533,1
1330075155733880846,2970233494,1
1330586952136089600,413455064,1
1330864275141832704,1398043400612548608,1
1332042645133209604,1166751822197002243,1
1332767750511587341,1422233939981307910,1
1333031578541449219,1302933742860861442,1
1333128694953615360,1410850938194178048,1
1334019487557890050,1274474936200048640,1
1334195751753277445,775279681213960192,1
1334295828,405534382,1
1334295828,709493693003272192,1
1335892394961739777,1040160799208161280,1
1336611877900660736,2435691,1
1338242130007961601,1338242130007961601,1
1338838453631508480,1102928046049423360,1
1338863676221100053,1338863676221100053,1
1338943457730187270,1115577386089754624,1
1339223270726438914,1212685418426011649,1
1339355066147467265,456663777,1
1339799020961722373,475275997,1
1339935426451259392,1257898714917715969,1
1341354243886886912,1133109169488318464,1
1341526292454404097,19245170,1
1342739645864534017,2834511,1
1343142442908999681,9204502,1
1343410735976763392,1227977723424976897,1
1343515498596757504,1405886484,2
1343515498596757504,47375691,1
1343515498596757504,822578462007447552,1
1343913723229057027,1115269629700710401,3
13442022,13442022,1
1345308254402981890,1260635069460426752,1
1345399499016036352,1281233186245263361,1
1345658170014896129,1163172849529610240,1
1347025623290667009,58172461,1
1347193695918034944,879133287037489153,1
1347606471350112259,1446811604486590466,1
1347716608421191686,1347716608421191686,1
1347716608421191686,1447485614899793921,1
1347716608421191686,145176775,1
1348333885885706240,1172949000644976641,1
1348589128343056385,214032204,1
1349139809420390406,1232291992316645380,1
1349437207539568641,8720562,1
1349656606506676224,1349656606506676224,1
1349727536092045313,1332751359632879624,1
1350092392192499712,1293900938072084480,1
1350366802438664193,1237736394585448449,1
1350847280014884869,1350847280014884869,1
1350881560627707906,9334352,1
1350986013708079104,1350986013708079104,1
1351063101270056960,1245309596547366912,1
1351063101270056960,1351063101270056960,1
1351124251290574853,752130147952758785,1
1351260860816252931,1351260860816252931,1
1351491875648262145,1378031924883693570,1
1351985241888534530,1101354170,1
1352188200006135808,5734902,1
1352908724986380288,1352908724986380288,2
1353050898197577728,789437296625979393,1
1353354702004609026,3198641920,1
1353388846965252096,3292982985,1
1354505877802377216,157687175,2
1354776959276998657,1422200096662466561,1
1354902409093541898,8720562,1
135503889,1055255910,1
1355064852692291587,5734902,1
1355603795363966983,1285538019597062147,1
1355940458724265994,1331573435248611330,1
1356752386266714118,1207696238088458240,1
1356889190265413632,1252542024299012097,1
1358402149701595138,514180172,1
1358405339792736260,1006596987507150848,1
1358405339792736260,1056545023511146496,1
1358405339792736260,1146725306071506944,1
1358405339792736260,1202182172108558339,1
1358405339792736260,1251041660643028992,1
1358405339792736260,1272828354727686144,1
1358405339792736260,1283363108862537729,1
1358405339792736260,1330896180482596865,1
1358405339792736260,1357403017801269248,1
1358405339792736260,1369268314015494147,1
1358405339792736260,1374411098149900299,1
1358405339792736260,1375540058829258760,1
1358405339792736260,1448547623581978624,1
1358405339792736260,1466401561383477255,1
1358405339792736260,789392217764827136,1
1358405339792736260,998597455053836288,1
1359399929362456576,3292982985,1
1359633952974262274,5462822,1
1359777873817706498,620221740,1
1359828364907995140,608377416,1
1359903196609736707,89947367,1
1360032399485259777,72346964,1
1360077878004748291,26458162,1
1360077878004748291,620221740,1
1360646962731745283,1077479182282752000,2
1360646962731745283,1355606963451797505,1
1360646962731745283,1368180743134928897,1
1360646962731745283,1426895950853857283,1
1360646962731745283,1612509121,1
1360646962731745283,263573005,1
1360646962731745283,312504234,1
1360646962731745283,472447110,1
1360663762643091459,1266080786425446401,1
1361644132788232198,282771328,1
1361787879484194822,1308309191866675200,1
1362489321031401479,932400956981043202,1
1363756956884828162,1282567738658033665,1
1363969493572149252,1283928515134595074,1
1364120558,825306344961998848,1
1365365545,1006227483866337281,1
1365371342279876608,1223010161515778056,1
1365800739101106180,1281005175826677761,1
1366134748784062465,3292982985,1
1366577318,165708897,1
1367150295571128327,1149050151618666498,1
1367613302717702146,1367613302717702146,1
1368247809888165889,1370015010840268801,1
1368544356353867776,1106890983655067651,1
1368607804446154759,94780119,1
1369342049087086594,1440864630,1
1369370325331349512,3400073345,1
1369586410395742210,1283819861303529472,1
1370863918864826375,1370863918864826375,1
1370863918864826375,75113916,1
1370864716059443202,787119942,1
1371186887352799232,1107326828,1
1371186887352799232,1276612080012050432,1
1371186887352799232,1423005912004968448,3
1371186887352799232,1480186879,1
1371186887352799232,159960428,1
1371186887352799232,2265460271,1
1371186887352799232,886727882772549632,1
1371186887352799232,922352743284658176,1
1371186887352799232,960473012,1
1371483536813928450,3091675462,1
1373030800594206725,945705304716644352,1
1373293126916395008,1010891024233914369,2
1373293126916395008,1429417705120075776,1
1373293126916395008,985236071054225408,1
1373492422072807425,1373676463648612357,1
1373958901255839745,1269608276213317632,1
1374687171991441420,2834511,1
1374945007245873169,1234128797320011777,1
1374945007245873169,1374945007245873169,1
1375028223386468355,17719390,1
1375726001100107777,1092361259054481413,1
1375849195144368131,1427541586859134978,1
1376198405316304906,1373676463648612357,1
1376631712843710467,1195463165636751360,1
1377269795968716804,1437910562286051331,1
1377269795968716804,1448347685140979719,1
1377269795968716804,2192753254,1
1377337261327581185,1129301934714888192,1
1377864338585829376,3063892271,1
1378323131509698566,806053245324034048,1
1378347570058162183,1454026298687377408,1
1379492556455735296,1257747673303732232,1
1379492556455735296,882363674928840704,1
1379881141042356226,757201864039493632,1
1380189500010287107,56672561,1
1380488671619649539,1380488671619649539,1
1380533549208588290,1238824564529995778,1
1380559774341824512,1401227783649509377,1
1380791543708188673,980516212059856901,1
1380819665669132290,5734902,1
1380819665669132290,844081278,1
1380819665669132290,9204502,1
1380819665669132290,951848353591152640,1
1381927889738813440,1255385682450751488,1
1382025886451519493,1462488898400047112,1
1382265499036356611,926411799381102592,1
1383708965486301187,1239846460096679936,1
1383776369381810187,2915818935,1
1383839547021094929,2231360407,1
1385935776450551812,48761686,1
1385936681417773059,1385936681417773059,1
1385986183092654082,1340360227800100867,1
1386015986344681475,1386015986344681475,1
1386316291817054209,318328678,1
1388058055422709761,1215727846976557057,1
1388064484548284417,405534382,1
1388064546473000963,1391118432754704389,1
138868048,3291242279,1
1388730495303917574,833380478916952064,1
1388957648272437249,753958456994959361,2
1389850038172590082,1119511088675086339,1
1390009755758907394,2272909014,1
1390371315568218126,540703773,1
1390629215901528066,94780119,1
1391014468432302091,2530028126,1
1391725039029006338,1450878823831117830,1
1392902529357340672,1404483984315322372,1
1392902529357340672,475912866,1
1392902529357340672,539376668,1
1393327300247228417,388763788,1
1393867989309693953,1007250148093779969,1
1393867989309693953,1324767524874059780,1
1394059056952791046,1345438626,1
1394425361572696068,21995719,1
1395604657385377797,330976924,1
1396093100045611020,1152821555866558465,1
1396713300847644675,1082186919814090752,1
1396751647959830530,935430272887214082,1
1397221413065568266,1010231964287332354,1
1397221413065568266,1361978435829178368,1
1397221413065568266,957154283002179584,1
1398043400612548608,1330864275141832704,1
1399324773239476224,995417016952606720,1
1399359710726348813,1243259466432249862,1
1399687250628288517,3568692616,1
1400031281090633728,1270475387030700032,1
1400431270296010752,1400431270296010752,1
1400431270296010752,1428493921102012417,1
1400502719044018179,2765750460,1
1401641545036673025,793778228,1
1401927845279109120,948226952292454401,1
1402287039840653316,1101354170,1
1402287039840653316,1342346699428212736,1
1402287039840653316,19709076,1
140386013,706536761279782912,1
1404126550820335616,989058160840278016,1
1404677283366019075,1267868663136366600,1
1404737097014067200,843468126255759360,1
1404876322367803392,811257151020736514,1
1405111721572904963,825306344961998848,1
1405788362536067072,1405788362536067072,1
1405788362536067072,15171407,1
1406334506316017665,8720562,1
1407130051548745731,1240268961566113794,1
1407463037938843655,1372247224122540032,1
1407463037938843655,16189050,1
1408322465332445185,1434894431241519106,1
1408322465332445185,170062616,1
1408749050,1425148428653375496,1
1409186594783956993,9334352,1
1409214558946967559,600411263,1
1409553009168748545,880848279529025537,1
1410242838747619335,1276612080012050432,1
1410306006677168140,1244845250830635009,1
1411246914771771392,1460526980319825923,1
1411272199852462080,1014233961189531648,1
1411431629600534528,2291630466,1
1411431629600534528,2834511,1
1412746623147458563,1132688391357837314,1
1413797718632321026,713361366858481664,1
1414088475926749187,756585799081136128,1
1414277119367069698,1371200108671422465,1
1414526746217566208,1276612080012050432,1
1415232868305997825,1039554192254427136,1
1415362663874535424,165708897,1
1415647959455256577,1013451035770327041,1
1415723324676653067,1242874834201325571,1
1415782394867732482,1396062279767142400,1
1416742777296244744,1281333007434092547,1
1417166054380408842,16525196,1
1417395154911125522,878575811250573312,1
1417425148051922944,2894379250,1
1418530436012199941,1291251938147930113,1
1420396359606325250,3063892271,1
1420767870103982082,620221740,1
1421234716187975680,1302933742860861442,1
1421601692878049285,90376380,1
1422160436175142919,3172870258,1
1422200096662466561,1354776959276998657,1
1422478117856292865,5734902,1
1423213520515174401,1424088266018541575,1
1423612183259357186,927897264651202560,1
1423689480,1007729353,1
1423923688295092227,16525196,1
1424232718397853698,233990587,1
1424232718397853698,43327142,1
1424982735228047366,787119942,1
1425110393677037569,28804762,1
1425119829854507008,1162289537269321728,1
1425472297620623367,1425472297620623367,1
1426105177212342290,19824617,1
1426179171278073857,1209808672743968768,1
1426565429112229891,1103391316464058369,1
1426940906171731978,1426940906171731978,1
1427339900437811204,938942950754652160,1
1427370137594773509,1312652681404731398,1
1427757856795865093,1257747673303732232,1
1427939494083366915,163482420,1
1428029558670909452,1005833251620052994,1
1428807983719403527,141987819,1
1429364661544263680,1227977723424976897,1
1429413546258018317,1435652253893996546,2
1429803156804935680,1264611664592343043,1
1429803156804935680,511790357,1
1430173556483272709,1430173556483272709,1
1430219639213133831,1303808419166552065,1
1430648770119847944,19802110,1
1430892641294581762,1440248080947761152,1
1431520485385375750,29180690,1
1431538817861890048,2577885723,1
1431558584119275521,1429543992505548804,1
1431879123291590662,1171329892547473408,1
1431879123291590662,1280533082282622976,1
1431879123291590662,968253778607603713,1
1431882576315224064,1431882576315224064,1
1431882576315224064,69066882,2
1432300431695400960,1215737471167877121,1
1432300431695400960,851879982406172672,1
1432335316795465728,1032204897066864640,1
1432335316795465728,1066341272531726336,1
1433016850393223169,602059648,1
