From,To,Strength
1001152617525936129,1082083626098049024,1
1001739825307930624,1380088816950738948,1
1004310316208017408,1004310316208017408,2
1004317466523324416,1268658245457059840,1
1005116853042270208,805308596,1
1006191456879603712,794249472972849152,1
1006901904,1155350311004979200,1
1007127535,1453418027479863301,1
1009298233770893315,1009298233770893315,1
1009466744161947649,969750482,1
1010891024233914369,1373293126916395008,2
1012419447506833409,1343677523624865794,1
1012998855099547649,1005341404749598722,1
1012998855099547649,1314477399694868481,1
1012998855099547649,896268935145955328,1
1016294349578080256,1016294349578080256,1
1016294349578080256,112981901,1
1016294349578080256,1247446202184073216,1
1016294349578080256,1332751359632879624,1
1016294349578080256,3019759383,1
1016294349578080256,404731546,1
1016294349578080256,4502695341,1
1016294349578080256,469195976,1
1016294349578080256,942709966489706496,1
1017056547237658624,1443830418332078080,1
101789090,101789090,1
1018840511593971712,1363955532512583684,1
1019618077,816553078405074944,1
1020344466627080193,804716336454795264,1
1023659705099583488,1256598827278180352,1
1025087761496399873,3341811327,1
1025668824912289794,1302697044486828032,1
102626298,1221049502146224129,1
102636426,3086382214,1
1026773320400818183,405534382,1
1027084864888168448,168790724,1
1027084864888168448,272521815,1
102727416,102727416,1
1027905630,432647972,1
1030801024439734273,907669749487865856,1
1031022709025792001,26203977,1
1032717244093083648,2907532582,1
103304964,103304964,1
1033700768992428032,714927933115252739,1
1033700768992428032,833398209053605888,1
1038018065328467968,382509763,1
1039187213932797953,1159434285801201665,1
1039554192254427136,1415232868305997825,1
1039554192254427136,923923849,1
1039554192254427136,938942950754652160,1
1039600976796282881,712301773034278912,1
1040269630068154368,1040269630068154368,1
1040269630068154368,2364159092,1
1040269630068154368,2991788747,1
1040870490821353472,1303942230776975361,1
1040898695569522693,762631020734779392,1
1041657034192478208,1334195751753277445,1
1041657034192478208,28566427,1
1042052751117697027,853965047076450304,1
1042079214416080896,1042079214416080896,1
10456882,773940,1
1046119978909540353,1136593952423993345,1
1048334780834754560,432748384,1
1048508301623873536,296888210,1
1049302299338784768,1106765550,1
1052848657756839936,1250036179644420097,1
1053358002,1123218550997569537,1
1053949113916624899,2270252634,1
1055325265608486912,516466158,1
1056517410646298625,1056517410646298625,1
1057196110765285376,1057196110765285376,1
1058066452069007361,1058066452069007361,1
1059525970221322240,1043457866244517893,1
1059525970221322240,1129520186145607680,1
1059750089143525378,1059750089143525378,1
1064573612240318464,72265312,1
1064595416342253569,1215737471167877121,1
1064595416342253569,210788662,1
1064595416342253569,8720562,1
1066272239409143808,512356467,1
1066341272531726336,1236779087747788800,1
1066582007126401024,9334352,1
107071527,724865365784801282,1
1072571097286094849,1059756337003925505,1
1072585440635613185,1386249371914850306,1
1072974908882333701,1286758509661638656,1
1073520239143542784,1438444487353712646,1
1073606626530263040,281700760,1
107402608,1332751359632879624,1
107402608,3063892271,1
1074205926775771137,5734902,1
