ID,URL,Date,Valid Phish
7284270,https://swisspost-tracking-online.com/PAKET/Seleccione_medio_de_pago.p..., on Sep 6th 2021 5:34 PM,VALID PHISH
7284205,https://tidelibom.com//webalizer/css/email/chpaket/09/2021/warten/send..., on Sep 6th 2021 3:49 PM,VALID PHISH
7284204,https://www.responsaprudentium.com/es/-/, on Sep 6th 2021 3:49 PM,VALID PHISH
7284203,http://admin-h0stp0int-ch-48305287.lavourasaudade.pt/SnNteHpQSjM4NnFjR..., on Sep 6th 2021 3:49 PM,VALID PHISH
7285581,https://esfft-dhl-tracking.com.u1468339.cp.regruhosting.ru/Billing/dhl..., on Sep 7th 2021 7:34 PM,VALID PHISH
7285580,http://ec2-18-170-227-202.eu-west-2.compute.amazonaws.com/..., on Sep 7th 2021 7:34 PM,Unknown
7285579,https://ellatinodigital.com/wp-content/hgt, on Sep 7th 2021 7:34 PM,Unknown
7285578,https://swiss-post.send-parcels.com/TA07662021CH/TA07662021CH/..., on Sep 7th 2021 7:34 PM,Unknown
7285577,https://www.news-peala.online/, on Sep 7th 2021 7:34 PM,VALID PHISH
7285576,https://paypal-caseid369.com, on Sep 7th 2021 7:34 PM,Unknown
7285396,https://swiss-post.send-parcels.com/TA07662021CH/TA07662021CH/Seleccio..., on Sep 7th 2021 3:16 PM,VALID PHISH
7285361,https://gadgetspath.com/wp-content/uploads/2021/09/.../swisspost/page...., on Sep 7th 2021 2:45 PM,VALID PHISH
7285360,https://localizavistoria.com.br/index2.php, on Sep 7th 2021 2:45 PM,Unknown
7285359,https://kollisionsinformationen.com/che/, on Sep 7th 2021 2:45 PM,Unknown
7285358,https://firebasestorage.googleapis.com/v0/b/xn-nerio-reuz-775.appspot...., on Sep 7th 2021 2:45 PM,VALID PHISH
7285357,https://staffpaymentforcovidandearnings.weebly.com..., on Sep 7th 2021 2:45 PM,Unknown
7285356,https://io-webmail-cpanel.web.app/#[email protected], on Sep 7th 2021 2:45 PM,Unknown
7285355,http://alhzkaad.wwwnl1-ts6.a2hosted.com/CHHH/index.php?ci=hansuli_meng..., on Sep 7th 2021 2:45 PM,VALID PHISH
7285354,https://elenismarket.com/new/Office/Office/index.php..., on Sep 7th 2021 2:45 PM,VALID PHISH
7284999,https://postoffice-tracking-online.com/SWISSPOST/a58b4fc43b334f8e157e3..., on Sep 7th 2021 10:00 AM,Unknown
7284966,https://firebasestorage.googleapis.com/v0/b/link-91eea.appspot.com/o/l..., on Sep 7th 2021 9:18 AM,Unknown
7284965,https://cranky-clarke.159-65-13-26.plesk.page/wp-pages/2018CN/2018CN/?..., on Sep 7th 2021 9:16 AM,Unknown
7284964,https://postoffice-tracking-online.com/SWISSPOST/Paket/Seleccione_medi..., on Sep 7th 2021 9:16 AM,Unknown
7284963,https://postoffice-tracking-online.com/SWISSPOST/..., on Sep 7th 2021 9:16 AM,Unknown
7287084,https://www.mennicabydgoska.com/modules/jmsslider/views/img/slides/-/S..., on Sep 9th 2021 5:23 AM,VALID PHISH
7287077,https://www.compasspoultry.com/sa/hostpointed/#[email protected], on Sep 9th 2021 5:08 AM,Unknown
7287076,http://rootswerkt.nl/wp-admin/images/wp/SWISSAPOSTA/POSTSWISRA/PostCan..., on Sep 9th 2021 5:07 AM,VALID PHISH
7287075,https://protection-98ffe37613a3.merseine.com/one/partnerportal/acb684c..., on Sep 9th 2021 5:07 AM,Unknown
7287074,https://583622.selcdn.ru/070065675486879-utrw345678/070065675486879-ut..., on Sep 9th 2021 5:04 AM,VALID PHISH
7286703,https://motivservicemultu.org/iklim/allmotive, on Sep 8th 2021 6:43 PM,VALID PHISH
7286702,https://paypal-caseid856.com/, on Sep 8th 2021 6:43 PM,VALID PHISH
7286701,https://inatural24.com/index2.php, on Sep 8th 2021 6:43 PM,Unknown
7286700,https://paypal-caseid895.com/, on Sep 8th 2021 6:43 PM,VALID PHISH
7286699,https://informationnen.com/VersandnummerCH7410451/..., on Sep 8th 2021 6:43 PM,Unknown
7286698,https://www.nataliavalenzuela.com/index3.php, on Sep 8th 2021 6:43 PM,Unknown
7286697,https://rootswerkt.nl/wp-admin/images/wp/SWISSAPOSTA/POSTSWISRA/PostCa..., on Sep 8th 2021 6:43 PM,VALID PHISH
7286563,https://m.24www24.tk/owa/, on Sep 8th 2021 4:13 PM,VALID PHISH
7286562,https://u124741724e.ha004.t.justns.ru/ch/SWISSPOST2CC/Seleccione_medio..., on Sep 8th 2021 4:13 PM,VALID PHISH
7286561,https://u124741724e.ha004.t.justns.ru/ch/SWISSPOST2CC/..., on Sep 8th 2021 4:13 PM,VALID PHISH
7286559,http://walldesign.com.tr/admin/language/ch/, on Sep 8th 2021 4:08 PM,VALID PHISH
7286558,https://ashleyshaunkemp.com/.../-/paket/warten/dhl/ch/2021/09/sendung/..., on Sep 8th 2021 4:06 PM,VALID PHISH
7286557,https://bannerchampnyc.com/-/, on Sep 8th 2021 4:06 PM,VALID PHISH
7286556,https://black-base.ru/upc/, on Sep 8th 2021 4:05 PM,VALID PHISH
7286555,https://paypal-caseid329.com/, on Sep 8th 2021 4:05 PM,VALID PHISH
7286554,https://dholerainvestments.in/check/00P04/, on Sep 8th 2021 4:05 PM,VALID PHISH
7286553,https://soilmusic.jp/#[email protected], on Sep 8th 2021 4:05 PM,VALID PHISH
7286552,https://tycontechnology.com/[email protected], on Sep 8th 2021 4:05 PM,VALID PHISH
7286551,http://reditahelme.duckdns.org/, on Sep 8th 2021 4:05 PM,VALID PHISH
7286548,https://gravetal.com.bo/images/layout.html, on Sep 8th 2021 4:04 PM,VALID PHISH
7286320,https://prepay-3ds.site/post/ch/info, on Sep 8th 2021 1:00 PM,Unknown
7286257,https://omflex.com/admin/aegen/, on Sep 8th 2021 11:36 AM,VALID PHISH
7286256,https://swiss-refund.serveirc.com/, on Sep 8th 2021 11:36 AM,VALID PHISH
7286252,https://walldesign.com.tr/admin/language/ch/, on Sep 8th 2021 11:31 AM,VALID PHISH
7286178,https://www.futureanalyzer.com/wp-admin/js/widgets/X450T3T4F/com/..., on Sep 8th 2021 10:09 AM,VALID PHISH
7286175,https://ghenciu.ro/.temp/, on Sep 8th 2021 10:01 AM,Unknown
