date,value
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,3
2020-02-23,10
2020-03-01,50
2020-03-08,430
2020-03-15,2001
2020-03-22,7133
2020-03-29,19044
2020-04-05,34636
2020-04-12,43405
2020-04-19,41383
2020-04-26,36286
2020-05-03,28715
2020-05-10,23973
2020-05-17,19122
2020-05-24,14834
2020-05-31,9337
2020-06-07,8950
2020-06-14,7286
2020-06-21,6973
2020-06-28,5212
2020-07-05,4697
2020-07-12,6212
2020-07-19,6308
2020-07-26,7145
2020-08-02,8478
2020-08-09,8047
2020-08-16,8194
2020-08-23,7667
2020-08-30,7112
2020-09-06,6985
2020-09-13,6346
2020-09-20,7335
2020-09-27,7804
2020-10-04,7930
2020-10-11,8505
2020-10-18,9879
2020-10-25,12828
2020-11-01,17407
2020-11-08,25089
2020-11-15,28483
2020-11-22,32823
2020-11-29,33599
2020-12-06,38013
2020-12-13,39160
2020-12-20,42413
2020-12-27,36408
2021-01-03,41637
2021-01-10,50689
2021-01-17,53271
2021-01-24,52635
2021-01-31,52335
2021-02-07,47773
2021-02-14,39855
2021-02-21,31354
2021-02-28,28696
2021-03-07,25599
2021-03-14,20650
2021-03-21,18135
2021-03-28,19536
2021-04-04,16244
2021-04-11,17791
2021-04-18,15288
2021-04-25,14865
2021-05-02,13822
2021-05-09,12924
2021-05-16,10958
2021-05-23,9787
2021-05-30,9421
2021-06-06,7049
2021-06-13,5898
2021-06-20,4509
2021-06-27,3979
2021-07-04,3208
2021-07-11,2985
2021-07-18,3099
2021-07-25,3348
2021-08-01,4516
2021-08-08,6039
2021-08-15,7366
2021-08-22,10872
2021-08-29,13444
2021-09-05,15385
2021-09-12,15817
