date,value
2020-01-26,39
2020-02-02,306
2020-02-09,544
2020-02-16,861
2020-02-23,687
2020-03-01,474
2020-03-08,378
2020-03-15,680
2020-03-22,1292
2020-03-29,1795
2020-04-05,3357
2020-04-12,4987
2020-04-19,7494
2020-04-26,7965
2020-05-03,10876
2020-05-10,13319
2020-05-17,14951
2020-05-24,17544
2020-05-31,19224
2020-06-07,22395
2020-06-14,24285
2020-06-21,28890
2020-06-28,26613
2020-07-05,27546
2020-07-12,29077
2020-07-19,32821
2020-07-26,32130
2020-08-02,32456
2020-08-09,34137
2020-08-16,33321
2020-08-23,31642
2020-08-30,31212
2020-09-06,30003
2020-09-13,32799
2020-09-20,29232
2020-09-27,29098
2020-10-04,30901
2020-10-11,30709
2020-10-18,26365
2020-10-25,27619
2020-11-01,28488
2020-11-08,31047
2020-11-15,33467
2020-11-22,35770
2020-11-29,37663
2020-12-06,38158
2020-12-13,37545
2020-12-20,38299
2020-12-27,35685
2021-01-03,36704
2021-01-10,40461
2021-01-17,42550
2021-01-24,46067
2021-01-31,45988
2021-02-07,40924
2021-02-14,40975
2021-02-21,36744
2021-02-28,36978
2021-03-07,37938
2021-03-14,40767
2021-03-21,47820
2021-03-28,50910
2021-04-04,55101
2021-04-11,67115
2021-04-18,68955
2021-04-25,75953
2021-05-02,79918
2021-05-09,78295
2021-05-16,74400
2021-05-23,73354
2021-05-30,66871
2021-06-06,63252
2021-06-13,67037
2021-06-20,54041
2021-06-27,48594
2021-07-04,46545
2021-07-11,46871
2021-07-18,46919
2021-07-25,59302
2021-08-01,51030
2021-08-08,51479
2021-08-15,51726
2021-08-22,51729
2021-08-29,49330
2021-09-05,45885
2021-09-12,40732
