latitude,longitude,name,ort,plz,strasse,hausnummer,typ
47.053899,8.307692,impo-luzern-hertensteinstrasse-ip,Luzern,6004,Hertensteinstrasse,39,impo
47.054115,8.307656,interdiscount-luzern-hertensteinstrasse,Luzern,6004,Hertensteinstrasse,50,id
47.059972,8.2859,pronto-reussbuehl,Reussbühl,6015,Hauptstrasse,19,pronto
47.056913,8.310045,coop-supermarkt-luzern-loewencenter,Luzern,6004,Zürichstrasse,9,retail
47.056913,8.310045,coop-restaurant-loewencenter-lu,Luzern,6004,Zürichstrasse,9,restaurant
47.046785,8.373958,coop-supermarkt-meggen,Meggen,6045,Dorfplatz,6,retail
47.061179,8.308574,coop-supermarkt-luzern-schlossberg,Luzern,6004,Maihofstrasse,1,retail
46.598513,7.907164,coop-supermarkt-lauterbrunnen,Lauterbrunnen,3822,Bahnhofplatz,,retail
47.067946,8.315319,pronto-ebikon,Ebikon,6006,Maihofstrasse,101,pronto
47.05806,8.073329,coop-supermarkt-wolhusen,Wolhusen,6110,Bahnhofstrasse,8-8E,retail
47.073261,8.290494,coop-supermarkt-emmen,Emmenbrücke,6020,Fichtenstrasse,1,retail
47.073261,8.290494,coop-restaurant-emmenbruecke,Emmenbrücke,6020,Fichtenstrasse,1,restaurant
47.074114,8.287032,impo-emmenbruecke-ip,Emmenbrücke,6020,Stauffacherstrasse,1,impo
47.07423,8.287099,christ-emmenbruecke-christ,Emmenbrücke,6020,Stauffacherstrasse,1,christ
47.073838,8.292715,livique-emmen-meierhoefli,Emmenbrücke,6020,Seetalstrasse,50,livique
47.074145,8.291364,pronto-emmenbruecke-seetalstr-,Emmenbrücke (LU),6020,Seetalstrasse,44,pronto
46.876285,8.631486,pronto-altdorf-bahnhof,Altdorf,6460,Bahnhofplatz,2,pronto
46.824318,8.649038,coop-supermarkt-erstfeld,Erstfeld,6472,Vordere Hofstatt,4,retail
47.061064,8.073417,pronto-wolhusen,Wolhusen,6110,Menznauerstrasse,29,pronto
46.634392,8.596199,coop-supermarkt-andermatt,Andermatt,6490,Gotthardstrasse,30,retail
46.488143,8.269315,coop-supermarkt-muenster,Münster,3985,Furkastrasse,143,retail
46.855407,8.645029,coop-supermarkt-schattdorf-tellpark,Schattdorf,6467,Militärstrasse,9a,retail
47.080659,8.271465,interdiscount-emmenbruecke,Emmenbrücke 3,6020,Stauffacherstrasse,1,id
47.080948,8.27139,coop-supermarkt-emmenbruecke-sprengi,Emmenbrücke,6020,Erlenstrasse,4,retail
47.084304,8.272535,pronto-emmenbruecke-rothenburgstr-,Emmenbrücke,6020,Rothenburgstrasse,24,pronto
47.07137,8.365052,coop-supermarkt-adligenswil,Adligenswil,6043,Im Zentrum,3,retail
46.882049,8.644656,interdiscount-altdorf,Altdorf,6460,Marktgasse,4,id
46.869559,8.650895,pronto-altdorf-schattdorf,Schattdorf,6467,Gotthardstrasse,2,pronto
46.880931,8.64572,coop-supermarkt-altdorf,Altdorf,6460,Hellgasse,3,retail
46.880931,8.64572,coop-restaurant-altdorf,Altdorf,6460,Hellgasse,3,restaurant
47.082623,8.126992,coop-supermarkt-ruswil,Ruswil,6017,Hellbühlerstrasse,8,retail
46.865606,8.654676,coop-supermarkt-schattdorf,Schattdorf,6467,Dorfstrasse,5,retail
47.082636,8.343201,coop-supermarkt-ebikon,Ebikon,6030,Hofmatt,,retail
47.093025,8.270669,coop-supermarkt-rothenburg,Rothenburg,6023,Grabenweg,3,retail
46.559616,7.893721,coop-supermarkt-muerren,Mürren,3825,Borthalten,1032,retail
47.110439,8.233928,burger-burger-king-neuenkirch-west,Rothenburg,6023,A2 (Richtung Luzern),,burger
47.110702,8.233603,coop-hotel-marche-bistro-neuenkirch-wes,Rothenburg,6023,A2 (Richtung Luzern),,hotel
47.113045,8.231832,pronto-neuenkirch-ost-raststaette,Rothenburg,6023,LU Raststätte A2 / Neuenkirch Ost,,pronto
47.113242,8.233179,marche-marche-neuenkirch-ost,Rothenburg,6023,A2 (Richtung Basel),,marche
47.082367,8.439596,coop-supermarkt-kuessnacht-am-rigi,Küssnacht am Rigi,6403,Bahnhofstrasse,14,retail
46.996614,8.60752,coop-supermarkt-brunnen,Brunnen,6440,Bahnhofstrasse,36/38,retail
47.10736,8.379587,pronto-root,Root,6037,Luzernstrasse,80,pronto
47.124544,8.19398,coop-supermarkt-sempach,Sempach,6204,Luzernerstrasse,,retail
46.999556,8.610214,pronto-brunnen-bahnhof,Brunnen,6440,Bahnhofstrasse,46,pronto
46.94042,7.778992,pronto-langnau-i-e-,Langnau,3550,Sägestrasse,36A,pronto
46.940413,7.778348,coop-bau-hobby-b-h-langnau-ilfiscenter,Langnau,3550,Sägestrasse,37,bh
46.940413,7.778348,interdiscount-langnau-i-e-,Langnau,3550,Sägestrasse,37,id
46.940431,7.778296,coop-supermarkt-langnau-ilfiscenter,Langnau,3550,Sägestrasse,37,retail
46.940431,7.778296,coop-restaurant-langnau,Langnau,3550,Sägestrasse,37,restaurant
46.940431,7.778296,coop-vitality-ilfis-center,Langnau,3550,Sägestrasse,37,vitality
46.940431,7.778296,impo-langnau-ip,Langnau,3550,Sägestrasse,37,impo
47.057246,8.53381,pronto-oberarth,Oberarth,6414,Gotthardstrasse,23,pronto
47.049198,8.549374,coop-supermarkt-goldau-bahnhof,Goldau,6410,Bahnhofstrasse,1,retail
47.050394,8.550307,coop-supermarkt-goldau,Goldau,6410,Centralstrasse,5,retail
47.117963,8.391937,coop-supermarkt-root,Root,6037,Bahnhofstrasse,17,retail
47.102418,8.450984,pronto-kuessnacht-am-rigi,Küssnacht am Rigi,6403,Zugerstrasse,40,pronto
46.717931,7.714075,coop-supermarkt-sigriswil,Sigriswil,3655,Dorfstrasse,19,retail
47.136841,8.132422,coop-supermarkt-nottwil-roesslipark,Nottwil,6207,Kantonsstrasse,21,retail
46.922559,7.728712,coop-supermarkt-signau,Signau,3534,Dorfstrasse,21,retail
46.528713,8.610768,coop-supermarkt-airolo,Airolo,6780,Via San Gottardo,62,retail
47.027954,8.631398,pronto-seewen-bahnhofstrasse,Seewen,6423,Bahnhofstrasse,156,pronto
47.032748,8.628031,coop-vitality-seewen,Seewen,6423,Steinbislin,7,vitality
47.032765,8.628084,lumimart-seewen-seewenmarkt,Seewen,6423,Steinbislin,7b,lumimart
47.032772,8.628334,impo-seewen-ip,Seewen-Schwyz,6423,Steinbislin,,impo
47.032679,8.628582,pronto-seewen-steinbislin,Seewen,6423,Steinbislin,3,pronto
47.033085,8.628486,coop-bau-hobby-b-h-seewen-markt,Seewen,6423,Steinbislin,7B,bh
47.033456,8.628244,coop-supermarkt-seewen-markt,Seewen,6423,Steinbislin,7,retail
47.033456,8.628244,coop-restaurant-seewen-markt,Seewen,6423,Steinbislin,7,restaurant
47.123483,7.99511,interdiscount-wilisau,Willisau,6130,Kreuzstrasse,3,id
47.020128,8.64939,interdiscount-seewen-markt,Seewen SZ,6423,Steinbislin,7b,id
47.020311,8.651657,coop-supermarkt-schwyz,Schwyz,6430,Oberer Steisteg,2,retail
47.127368,7.997246,coop-supermarkt-willisau,Willisau,6130,Feldli,,retail
47.127368,7.997246,coop-restaurant-willisau,Willisau,6130,Feldli,,restaurant
47.128294,7.997309,pronto-willisau,Willisau,6130,Ettiswilerstrasse,41A,pronto
47.140661,8.426829,coop-supermarkt-rotkreuz,Rotkreuz,6343,Luzernerstrasse,8,retail
47.165856,8.283619,coop-bau-hobby-b-h-hochdorf,Hochdorf,6280,Industriestrasse,4,bh
47.165566,8.289998,pronto-hochdorf,Hochdorf,6280,Urswilstrasse,1,pronto
46.688811,7.678958,interdiscount-spiez,Spiez,3700,Oberlandstrasse,29,id
46.401428,8.132984,coop-supermarkt-fiesch,Fiesch,3984,Furkastrasse,21,retail
47.168485,8.288251,interdiscount-hochdorf,Hochdorf,6280,Hauptstrasse,48,id
47.168761,8.288664,coop-supermarkt-hochdorf,Hochdorf,6280,Bellevuestrasse,6,retail
46.689447,7.675745,coop-supermarkt-spiez,Spiez,3700,Oberlandstrasse,6,retail
46.678859,8.771095,coop-supermarkt-sedrun,Sedrun,7188,Via Alpsu,70,retail
46.735925,7.658927,coop-supermarkt-hilterfingen,Hilterfingen,3652,Dorfstrasse,19,retail
46.396779,8.131286,pronto-fiesch,Fiesch,3984,Nagereija,15,pronto
47.147867,8.434122,pronto-rotkreuz,Rotkreuz,6343,Blegistrasse,2,pronto
46.684498,7.66792,pronto-spiez,Spiez,3700,Simmentalstrasse,50,pronto
46.629152,7.691346,pronto-reichenbach,Reichenbach im Kandertal,3713,Hauptstrasse,38,pronto
47.172784,8.103815,interdiscount-sursee,Sursee,6210,Bahnhofstrasse,20,id
47.173002,8.103356,coop-supermarkt-sursee-surseepark,Sursee,6210,Bahnhofstrasse,26,retail
46.625196,7.69057,coop-supermarkt-reichenbach,Reichenbach,3713,Hauptstrasse,17,retail
47.177894,8.125118,coop-bau-hobby-b-h-schenkon,Schenkon,6214,Zellgut,1,bh
47.178165,8.126401,coop-supermarkt-schenkon,Schenkon,6214,Zellfeld,,retail
47.178165,8.126401,coop-restaurant-schenkon,Schenkon,6214,Zellfeld,,restaurant
46.745714,7.64346,coop-supermarkt-huenibach,Hünibach,3626,Zedtwitzweg,1,retail
46.775758,7.633322,coop-supermarkt-steffisburg,Steffisburg,3612,Unterdorfstrasse,50,retail
46.760281,7.631133,pronto-thun-krankenhausstrasse,Thun,3600,Krankenhausstrasse,1,pronto
46.755298,7.630814,pronto-thun-am-bahnhof,Thun,3600,Panoramastrasse,1,pronto
47.184682,8.111918,pronto-schenkon,Schenkon,6214,Grenzstrasse,1b,pronto
46.754913,7.629687,coop-supermarkt-thun-bahnhof,Thun,3600,Seestrasse,2,retail
46.75782,7.628637,impo-thun-baelliz-57-ip,Thun,3600,Bälliz,57,impo
46.760584,7.62739,coop-supermarkt-city-thun-kyburg-food,Thun,3600,Schwäbisgasse,1,retail
46.760584,7.62739,coop-city-city-kyburg,Thun,3600,Schwäbisgasse,1,city
46.760584,7.62739,coop-restaurant-thun-kyburg,Thun,3600,Schwäbisgasse,1,restaurant
46.760584,7.62739,take-it-thun-city-kyburg-take-it,Thun,3600,Schwäbisgasse,1,takeit
46.760404,7.627259,impo-thun-kyburg-cc-ip,Thun,3600,Schwäbisgasse,1,impo
46.759208,7.627294,interdiscount-thun-baelliz,Thun,3600,Bälliz,25,id
47.029373,7.744129,coop-supermarkt-sumiswald,Sumiswald,3454,Dorfgasse,2A,retail
46.387789,8.058708,coop-supermarkt-bettmeralp,Bettmeralp,3992,Haus Walliserhof,,retail
46.743421,7.627383,pronto-thun-frutigenstrasse,Thun,3604,Frutigenstrasse,71,pronto
46.758934,7.624269,coop-supermarkt-thun-rexmax,Thun,3600,Gewerbestrasse,6,retail
46.74064,7.62261,coop-bau-hobby-b-h-thun-straettligen-markt,Thun,3604,Feldstrasse,27,bh
46.740524,7.621942,coop-supermarkt-thun-straettligen-markt,Thun,3604,Schulstrasse,32,retail
46.740524,7.621942,coop-restaurant-thun-straettligen-markt,Thun,3604,Schulstrasse,32,restaurant
47.17547,8.426298,coop-supermarkt-huenenberg,Hünenberg,6331,Eichengasse,1A,retail
46.760228,7.619247,pronto-thun-allmendstrasse,Thun,3600,Allmendstrasse,38,pronto
47.113252,7.853295,pronto-huttwil,Huttwil,4950,Luzernstrasse,24b,pronto
47.168992,7.992642,coop-supermarkt-schoetz,Schötz,6247,Luzernerstrasse,27,retail
46.67563,7.638006,coop-supermarkt-wimmis,Wimmis,3752,Hauptstrasse,11,retail
46.756461,7.617965,livique-thun-sued,Thun,3600,Mittlere Strasse,52,livique
46.753479,7.615115,coop-supermarkt-thun-schoenau,Thun,3600,Schönaustrasse,18,retail
46.837636,7.617685,coop-supermarkt-oberdiessbach,Oberdiessbach,3672,Bahnhofstrasse,16,retail
46.906074,7.638847,coop-supermarkt-grosshoechstetten,Grosshöchstetten,3506,Dorfstrasse,4C,retail
46.744348,7.615439,interdiscount-thun-straettligen-markt,Thun,3604,Schulstrasse,32,id
46.778311,7.612434,lumimart-heimberg,Heimberg,3627,Bernstrasse,131,lumimart
46.779714,7.612281,pronto-heimberg-bernstrasse,Heimberg,3627,Bernstrasse,196,pronto
47.113798,7.844024,coop-supermarkt-huttwil,Huttwil,4950,Bahnhofstrasse,33,retail
46.779818,7.608995,pronto-heimberg-center--automat-,Heimberg,3627,Blümlisalpstrasse,61,pronto
46.779818,7.608995,interdiscount-heimberg-center-xxl,Heimberg,3627,Blümlisalpstrasse,61,id
46.783426,7.608875,coop-supermarkt-heimberg-aarestrasse,Heimberg,3627,Aarestrasse,1,retail
46.779828,7.608261,coop-supermarkt-heimberg-center,Heimberg,3627,Blümlisalpstrasse,61,retail
46.779828,7.608261,coop-restaurant-heimberg-center,Heimberg,3627,Blümlisalpstrasse,61,restaurant
46.779828,7.608261,impo-thun-heimberg-ip,Heimberg,3627,Blümlisalpstrasse,61,impo
46.881236,7.624009,coop-supermarkt-konolfingen,Konolfingen,3510,Emmentalstrasse,25,retail
47.190778,8.395702,coop-supermarkt-sins,Sins,5643,Luzernstrasse,3,retail
46.909846,7.631996,pronto-grosshoechstetten,Grosshöchstetten,3506,Bernstrasse,31,pronto
47.208051,8.1905,coop-supermarkt-beromuenster,Beromünster,6215,Bahnhofstrasse,4,retail
46.378344,8.033372,coop-supermarkt-riederalp,Riederalp,3987,Bahnhofstrasse, 11,retail
46.764565,7.600595,coop-supermarkt-thun-lerchenfeld,Thun,3603,Lerchenfeldstrasse,45,retail
47.181448,8.461767,coop-supermarkt-cham-seehof,Cham,6330,Zuger-  Seehofstrasse,14,retail
47.181705,8.461205,interdiscount-cham,Cham,6330,Zugerstrasse,15/17,id
47.137766,8.581137,coop-supermarkt-unteraegeri-chilematt,Unterägeri,6314,Waldheimstrasse,2,retail
47.00532,7.684425,coop-supermarkt-luetzelflueh,Lützelflüh,3432,Dorfstrasse,29,retail
46.924757,7.628256,coop-supermarkt-biglen,Biglen,3507,Bahnhofstrasse,4,retail
46.700175,8.842145,coop-supermarkt-disentis,Disentis,7180,Via Acletta,1,retail
46.743488,7.594931,coop-supermarkt-allmendingen,Thun,3608,Allmendingenstrasse,22,retail
47.169052,8.515045,impo-zug-ip,Zug,6300,Schmidgasse,3,impo
47.171505,8.51433,coop-supermarkt-city-zug-food,Zug,6304,Bundesplatz,11,retail
47.171505,8.51433,coop-restaurant-zug,Zug,6304,Bundesplatz,11,restaurant
47.171439,8.514685,christ-zug-alpenstrasse-christ,Zug,6304,Bundesplatz,11,christ
47.171475,8.514646,impo-zug-city-ip,Zug,6300,Bundesplatz,11,impo
47.171614,8.514279,coop-city-city-zug,Zug,6304,Bundesplatz,11,city
47.171035,8.51647,coop-to-go-zug-neustadt-to-go,Zug,6300,Baarerstrasse,6,togo
47.171017,8.516536,coop-supermarkt-zug-neustadt,Zug,6300,Baarerstrasse,6,retail
47.171017,8.516536,coop-restaurant-zug-neustadt,Zug,6300,Baarerstrasse,6,restaurant
47.173664,8.515336,coop-to-go-zug-bahnhof-to-go,Zug,6300,Bahnhofplatz,,togo
47.173664,8.515336,karma-shop-zug-bahnhof-karma,Zug,6300,Bahnhofplatz,,karma
47.186403,8.476034,toptip-cham,Cham,6330,Hinterbergstrasse,8,toptip
47.186402,8.476086,coop-bau-hobby-b-h-cham,Cham,6330,Hinterbergstrasse,8,bh
47.186652,8.475313,pronto-cham,Cham,6330,Hinterbergstrasse,6,pronto
47.173243,8.517016,interdiscount-zug-metalli-xxl,Zug,6300,Baarerstrasse,22,id
47.174165,8.515557,coop-supermarkt-zug-bahnhof,Zug,6300,Bahnhof SBB,,retail
47.17792,8.505501,coop-supermarkt-zug-herti,Zug,6300,Hertizentrum,10,retail
47.134969,8.613164,coop-supermarkt-oberaegeri,Oberägeri,6315,Hauptstrasse,15,retail
47.223992,8.260124,coop-supermarkt-hitzkirch,Hitzkirch,6285,Bahnhofstrasse,13,retail
46.587277,7.647075,coop-supermarkt-frutigen,Frutigen,3714,Bälliz,2,retail
46.356726,8.047037,coop-supermarkt-moerel-filet,Mörel,3983,Furkastrasse,30,retail
47.191604,8.47785,christ-steinhausen-zugerland-christ,Steinhausen,6312,Hinterbergstr.,40,christ
46.774758,7.572292,coop-supermarkt-uetendorf,Uetendorf,3661,Dorfstrasse,11,retail
47.184909,8.520101,pronto-baar-zugerstrasse,Baar,6340,Zugerstrasse,64,pronto
47.196948,8.483734,coop-supermarkt-steinhausen,Steinhausen,6312,Bahnhofstrasse,7,retail
47.017953,7.660414,coop-supermarkt-hasle-rueegsau,Hasle-Rüegsau,3415,Rüegsaustrasse,26,retail
47.21009,7.985135,pronto-dagmersellen,Dagmersellen,6252,Altishoferstrasse,29,pronto
47.212089,7.990303,coop-supermarkt-dagmersellen,Dagmersellen,6252,Luzernstrasse,6,retail
