,0,app
205,https://parlement.vs.ch/app/de/search/speech/171731,24
206,https://parlement.vs.ch/app/de/search/speech/171730,24
207,https://parlement.vs.ch/app/de/search/speech/171729,24
208,https://parlement.vs.ch/app/de/search/speech/171728,24
209,https://parlement.vs.ch/app/de/search/speech/171727,24
210,https://parlement.vs.ch/app/de/search/speech/171726,24
211,https://parlement.vs.ch/app/de/search/speech/171725,24
212,https://parlement.vs.ch/app/de/search/speech/171724,24
213,https://parlement.vs.ch/app/de/search/speech/171723,24
214,https://parlement.vs.ch/app/de/search/speech/171722,24
215,https://parlement.vs.ch/app/de/search/speech/171721,24
216,https://parlement.vs.ch/app/de/search/speech/171720,24
217,https://parlement.vs.ch/app/de/search/speech/171719,24
218,https://parlement.vs.ch/app/de/search/speech/171718,24
219,https://parlement.vs.ch/app/de/search/speech/171717,24
220,https://parlement.vs.ch/app/de/search/speech/171716,24
221,https://parlement.vs.ch/app/de/search/speech/171715,24
222,https://parlement.vs.ch/app/de/search/speech/171714,24
223,https://parlement.vs.ch/app/de/search/speech/171713,24
237,https://parlement.vs.ch/app/de/search/speech/171711,24
238,https://parlement.vs.ch/app/de/search/speech/171710,24
239,https://parlement.vs.ch/app/de/search/speech/171709,24
240,https://parlement.vs.ch/app/de/search/speech/171708,24
241,https://parlement.vs.ch/app/de/search/speech/171707,24
242,https://parlement.vs.ch/app/de/search/speech/171706,24
243,https://parlement.vs.ch/app/de/search/speech/171705,24
244,https://parlement.vs.ch/app/de/search/speech/171704,24
245,https://parlement.vs.ch/app/de/search/speech/171703,24
246,https://parlement.vs.ch/app/de/search/speech/171702,24
247,https://parlement.vs.ch/app/de/search/speech/171701,24
248,https://parlement.vs.ch/app/de/search/speech/171700,24
249,https://parlement.vs.ch/app/de/search/speech/171699,24
250,https://parlement.vs.ch/app/de/search/speech/171698,24
251,https://parlement.vs.ch/app/de/search/speech/171697,24
252,https://parlement.vs.ch/app/de/search/speech/171696,24
253,https://parlement.vs.ch/app/de/search/speech/171695,24
254,https://parlement.vs.ch/app/de/search/speech/171694,24
255,https://parlement.vs.ch/app/de/search/speech/171693,24
269,https://parlement.vs.ch/app/de/search/speech/171835,24
270,https://parlement.vs.ch/app/de/search/speech/171834,24
271,https://parlement.vs.ch/app/de/search/speech/171833,24
272,https://parlement.vs.ch/app/de/search/speech/171832,24
273,https://parlement.vs.ch/app/de/search/speech/171831,24
274,https://parlement.vs.ch/app/de/search/speech/171830,24
275,https://parlement.vs.ch/app/de/search/speech/171829,24
276,https://parlement.vs.ch/app/de/search/speech/171828,24
277,https://parlement.vs.ch/app/de/search/speech/171827,24
278,https://parlement.vs.ch/app/de/search/speech/171826,24
279,https://parlement.vs.ch/app/de/search/speech/171825,24
280,https://parlement.vs.ch/app/de/search/speech/171824,24
281,https://parlement.vs.ch/app/de/search/speech/171823,24
282,https://parlement.vs.ch/app/de/search/speech/171822,24
283,https://parlement.vs.ch/app/de/search/speech/171821,24
284,https://parlement.vs.ch/app/de/search/speech/171820,24
285,https://parlement.vs.ch/app/de/search/speech/171819,24
286,https://parlement.vs.ch/app/de/search/speech/171818,24
287,https://parlement.vs.ch/app/de/search/speech/171817,24
301,https://parlement.vs.ch/app/de/search/speech/171968,24
302,https://parlement.vs.ch/app/de/search/speech/171967,24
303,https://parlement.vs.ch/app/de/search/speech/171966,24
304,https://parlement.vs.ch/app/de/search/speech/171965,24
305,https://parlement.vs.ch/app/de/search/speech/171964,24
306,https://parlement.vs.ch/app/de/search/speech/171963,24
307,https://parlement.vs.ch/app/de/search/speech/171962,24
308,https://parlement.vs.ch/app/de/search/speech/171961,24
309,https://parlement.vs.ch/app/de/search/speech/171960,24
310,https://parlement.vs.ch/app/de/search/speech/171959,24
311,https://parlement.vs.ch/app/de/search/speech/171958,24
312,https://parlement.vs.ch/app/de/search/speech/171957,24
313,https://parlement.vs.ch/app/de/search/speech/171956,24
314,https://parlement.vs.ch/app/de/search/speech/171955,24
315,https://parlement.vs.ch/app/de/search/speech/171954,24
316,https://parlement.vs.ch/app/de/search/speech/171953,24
317,https://parlement.vs.ch/app/de/search/speech/171952,24
318,https://parlement.vs.ch/app/de/search/speech/171951,24
319,https://parlement.vs.ch/app/de/search/speech/171950,24
333,https://parlement.vs.ch/app/de/search/speech/171651,24
334,https://parlement.vs.ch/app/de/search/speech/171650,24
335,https://parlement.vs.ch/app/de/search/speech/171649,24
336,https://parlement.vs.ch/app/de/search/speech/171648,24
337,https://parlement.vs.ch/app/de/search/speech/171647,24
338,https://parlement.vs.ch/app/de/search/speech/171646,24
339,https://parlement.vs.ch/app/de/search/speech/171645,24
340,https://parlement.vs.ch/app/de/search/speech/171644,24
341,https://parlement.vs.ch/app/de/search/speech/171643,24
342,https://parlement.vs.ch/app/de/search/speech/171642,24
343,https://parlement.vs.ch/app/de/search/speech/171641,24
344,https://parlement.vs.ch/app/de/search/speech/171640,24
345,https://parlement.vs.ch/app/de/search/speech/171639,24
346,https://parlement.vs.ch/app/de/search/speech/171638,24
347,https://parlement.vs.ch/app/de/search/speech/171637,24
348,https://parlement.vs.ch/app/de/search/speech/171636,24
349,https://parlement.vs.ch/app/de/search/speech/171635,24
350,https://parlement.vs.ch/app/de/search/speech/171634,24
351,https://parlement.vs.ch/app/de/search/speech/171633,24
365,https://parlement.vs.ch/app/de/search/speech/171775,24
366,https://parlement.vs.ch/app/de/search/speech/171774,24
367,https://parlement.vs.ch/app/de/search/speech/171773,24
368,https://parlement.vs.ch/app/de/search/speech/171772,24
369,https://parlement.vs.ch/app/de/search/speech/171771,24
370,https://parlement.vs.ch/app/de/search/speech/171770,24
371,https://parlement.vs.ch/app/de/search/speech/171769,24
372,https://parlement.vs.ch/app/de/search/speech/171768,24
373,https://parlement.vs.ch/app/de/search/speech/171767,24
374,https://parlement.vs.ch/app/de/search/speech/171766,24
375,https://parlement.vs.ch/app/de/search/speech/171765,24
376,https://parlement.vs.ch/app/de/search/speech/171764,24
377,https://parlement.vs.ch/app/de/search/speech/171763,24
378,https://parlement.vs.ch/app/de/search/speech/171975,24
379,https://parlement.vs.ch/app/de/search/speech/171974,24
