,company,job,location,count
54,TIG SA Tôlerie Industrielle de la Gruyère,Anlagen- und Apparatebauer/in EFZ,Bulle (FR),"
2 Lehrstelle(n)
"
55,Metalit AG,Anlagen- und Apparatebauer/in EFZ,Büron (LU),"
1 Lehrstelle(n)
"
56,Ascenseurs Schindler SA,Anlagen- und Apparatebauer/in EFZ,Bussigny (VD),"
2 Lehrstelle(n)
"
57,Egger Emile & Cie SA,Anlagen- und Apparatebauer/in EFZ,Cressier NE (NE),"
1 Lehrstelle(n)
"
58,Schindler Aufzüge AG,Anlagen- und Apparatebauer/in EFZ,Embrach (ZH),"
1 Lehrstelle(n)
"
59,TM Metalltechnik AG,Anlagen- und Apparatebauer/in EFZ,Emmen (LU),"
2 Lehrstelle(n)
"
60,Signer AG,Anlagen- und Apparatebauer/in EFZ,Ennetaach (TG),"
1 Lehrstelle(n)
"
61,Metaltec Thurgau,Anlagen- und Apparatebauer/in EFZ,Frauenfeld (TG),"
1 Lehrstelle(n)
"
62,Ludwig Elkuch AG,Anlagen- und Apparatebauer/in EFZ,Gamprin-Bendern (FL),"
2 Lehrstelle(n)
"
63,Stephan SA,Anlagen- und Apparatebauer/in EFZ,Givisiez (FR),"
2 Lehrstelle(n)
"
64,Artol Fuchs SA,Anlagen- und Apparatebauer/in EFZ,Granges-Paccot (FR),"
1 Lehrstelle(n)
"
65,Meyer BlechTechnik AG,Anlagen- und Apparatebauer/in EFZ,Grosswangen (LU),"
1 Lehrstelle(n)
"
66,Seven-Air Gebr. Meyer AG,Anlagen- und Apparatebauer/in EFZ,Hitzkirch (LU),"
1 Lehrstelle(n)
"
67,SigmaTech AG,Anlagen- und Apparatebauer/in EFZ,Inwil (LU),"
1 Lehrstelle(n)
"
68,Werner Fercher AG,Anlagen- und Apparatebauer/in EFZ,Lalden (VS),"
3 Lehrstelle(n)
"
69,Lauber IWISA AG,Anlagen- und Apparatebauer/in EFZ,Naters (VS),"
2 Lehrstelle(n)
"
70,Krieger Produktions AG,Anlagen- und Apparatebauer/in EFZ,Ruswil (LU),"
2 Lehrstelle(n)
"
71,Kurmann Technik AG,Anlagen- und Apparatebauer/in EFZ,Ruswil (LU),"
1 Lehrstelle(n)
"
72,Josef Muff AG,Anlagen- und Apparatebauer/in EFZ,Sarmenstorf (AG),"
1 Lehrstelle(n)
"
73,AS Aufzüge AG,Anlagen- und Apparatebauer/in EFZ,St. Gallen (SG),"
1 Lehrstelle(n)
"
74,Schindler Aufzüge AG,Anlagen- und Apparatebauer/in EFZ,St. Gallen (SG),"
1 Lehrstelle(n)
"
75,3dmetall AG,Anlagen- und Apparatebauer/in EFZ,Steg VS (VS),"
1 Lehrstelle(n)
"
76,SKAN Stein AG,Anlagen- und Apparatebauer/in EFZ,Stein AG (AG),"
1 Lehrstelle(n)
"
77,KKS Ultraschall AG,Anlagen- und Apparatebauer/in EFZ,Steinen (SZ),"
1 Lehrstelle(n)
"
78,Fercher Anton,Anlagen- und Apparatebauer/in EFZ,Visp (VS),"
1 Lehrstelle(n)
"
79,Z-Tec Metallbearbeitung AG,Anlagen- und Apparatebauer/in EFZ,Wangen SZ (SZ),"
1 Lehrstelle(n)
"
80,Lindt & Sprüngli (Schweiz) AG,Anlagenführer/in EFZ,Altendorf (SZ),"
1 Lehrstelle(n)
"
81,Dentsply Sirona,Anlagenführer/in EFZ,Ballaigues (VD),"
2 Lehrstelle(n)
"
82,Bischofszell Nahrungsmittel AG,Anlagenführer/in EFZ,Bischofszell (TG),"
2 Lehrstelle(n)
"
83,Emmi Schweiz AG,Anlagenführer/in EFZ,Emmen (LU),"
1 Lehrstelle(n)
"
84,Produits Epagny SA,Anlagenführer/in EFZ,Epagny (FR),"
1 Lehrstelle(n)
"
85,Bachmann Forming AG,Anlagenführer/in EFZ,Hochdorf (LU),"
1 Lehrstelle(n)
"
86,Amcor Flexibles Kreuzlingen AG,Anlagenführer/in EFZ,Kreuzlingen (TG),"
1 Lehrstelle(n)
"
87,TRAITAFINA AG,Anlagenführer/in EFZ,Lenzburg (AG),"
1 Lehrstelle(n)
"
88,GSK Consumer Healthcare company,Anlagenführer/in EFZ,Nyon 1 (VD),"
1 Lehrstelle(n)
"
89,Wilhelm Schmidlin AG,Anlagenführer/in EFZ,Oberarth (SZ),"
1 Lehrstelle(n)
"
90,UFA SA,Anlagenführer/in EFZ,Puidoux (VD),"
1 Lehrstelle(n)
"
91,Infré SA,Anlagenführer/in EFZ,Semsales (FR),"
1 Lehrstelle(n)
"
92,Alterszentrum Aaheim,Assistent/in Gesundheit und Soziales EBA,Aadorf (TG),"
1 Lehrstelle(n)
"
93,Spitex Buchs,Assistent/in Gesundheit und Soziales EBA,Buchs AG (AG),"
1 Lehrstelle(n)
"
94,Alters- und Pflegeheim Heimet AG,Assistent/in Gesundheit und Soziales EBA,Ennetbürgen (NW),"
1 Lehrstelle(n)
"
95,Eyhuis Lungern,Assistent/in Gesundheit und Soziales EBA,Lungern (OW),"
1 Lehrstelle(n)
"
96,Spitex non Stop GmbH,Assistent/in Gesundheit und Soziales EBA,Wettingen (AG),"
1 Lehrstelle(n)
"
97,Import Optik Brig,Augenoptiker/in EFZ,Brig (VS),"
1 Lehrstelle(n)
"
98,Optic 2000 Léman Centre SA,Augenoptiker/in EFZ,Crissier (VD),"
1 Lehrstelle(n)
"
99,Lunetterie des Rois E. Piralla & P. Trunz,Augenoptiker/in EFZ,Genf (GE),"
1 Lehrstelle(n)
"
100,McOptik (Schweiz) AG,Augenoptiker/in EFZ,Sarnen (OW),"
1 Lehrstelle(n)
"
101,libs Industrielle Berufslehren Schweiz,Automatiker/in EFZ,Baden (AG),"
2 Lehrstelle(n)
"
102,HUTA AG,Automatiker/in EFZ,Ennetbürgen (NW),"
1 Lehrstelle(n)
"
103,Ref-Flex,Automatiker/in EFZ,Freiburg 1 (FR),"
1 Lehrstelle(n)
"
104,Tabelco SA,Automatiker/in EFZ,Givisiez (FR),"
1 Lehrstelle(n)
"
105,PFIFFNER Messwandler AG,Automatiker/in EFZ,Hirschthal (AG),"
2 Lehrstelle(n)
"
106,D. Fallegger Elektro-Tableaux AG,Automatiker/in EFZ,Kriens (LU),"
1 Lehrstelle(n)
"
107,Eichmann-Tableaux AG,Automatiker/in EFZ,Küssnacht am Rigi (SZ),"
1 Lehrstelle(n)
"
108,Bürge-Fischer AG,Automatiker/in EFZ,Safenwil (AG),"
1 Lehrstelle(n)
"
109,DISA Elektro AG,Automatiker/in EFZ,Sarnen (OW),"
1 Lehrstelle(n)
"
110,Constellium Valais SA,Automatiker/in EFZ,Steg VS (VS),"
1 Lehrstelle(n)
"
111,Lonza AG,Automatiker/in EFZ,Stein AG (AG),"
1 Lehrstelle(n)
"
112,Vetropack SA,Automatiker/in EFZ,St-Prex (VD),"
1 Lehrstelle(n)
"
113,Blattner AG,Automatiker/in EFZ,Tägerwilen (TG),"
1 Lehrstelle(n)
"
114,Swissohm SA,Automatiker/in EFZ,Vésenaz (GE),"
1 Lehrstelle(n)
"
